UniProt ID (2598),Description,Resistance mechanism
Q8DEG8,Undecaprenyl-diphosphatase,target alteration
Q8DKW4,Undecaprenyl-diphosphatase,target alteration
Q8DPQ6,Probable multidrug resistance protein NorM,efflux pump
Q8E260,Undecaprenyl-diphosphatase,target alteration
Q8E7M0,Undecaprenyl-diphosphatase,target alteration
Q8E9K1,Undecaprenyl-diphosphatase 2,target alteration
Q8EA87,Multidrug resistance protein MdtL,efflux pump
Q8EES3,Probable multidrug resistance protein NorM,efflux pump
Q8EHD3,Undecaprenyl-diphosphatase 1,target alteration
Q8EIL8,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q8F397,Undecaprenyl-diphosphatase,target alteration
Q8FAL8,Guanidinium exporter,efflux pump
Q8FAX1,Multidrug resistance protein MdtN,efflux pump
Q8FAX2,Multidrug resistance protein MdtO,efflux pump
Q8FBV0,Multidrug resistance protein MdtL,efflux pump
Q8FBX9,Purine ribonucleoside efflux pump NepI,efflux pump
Q8FCI6,HTH-type transcriptional regulator GadX,efflux pump
Q8FCI8,Multidrug resistance protein MdtF,efflux pump
Q8FFL9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q8FFM1,Bifunctional polymyxin resistance protein ArnA,target alteration
Q8FFM2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q8FFV6,Multidrug resistance outer membrane protein MdtQ,efflux pump
Q8FG02,Putative multidrug resistance protein MdtD,efflux pump
Q8FG03,Multidrug resistance protein MdtC,efflux pump
Q8FG04,Multidrug resistance protein MdtB,efflux pump
Q8FH68,Multidrug resistance protein MdtK,efflux pump
Q8FHB4,Spermidine export protein MdtJ,efflux pump
Q8FHB5,Spermidine export protein MdtI,efflux pump
Q8FIB8,Sensor protein PhoQ,target alteration, efflux pump
Q8FIR9,Multidrug resistance protein MdtG,efflux pump
Q8FK36,Cation efflux system protein CusA,efflux pump
Q8FTC9,Undecaprenyl-diphosphatase,target alteration
Q8FWV8,Efflux pump periplasmic linker BepF,efflux pump
Q8FWV9,Efflux pump membrane transporter BepG,efflux pump
Q8G0Y6,Outer membrane efflux protein BepC,efflux pump
Q8G2I1,Probable multidrug resistance protein NorM,efflux pump
Q8G2M6,Efflux pump membrane transporter BepE,efflux pump
Q8G2M7,Efflux pump periplasmic linker BepD,efflux pump
Q8G6C4,Undecaprenyl-diphosphatase,target alteration
Q8GAI5,Nicotine metabolites export pump subunit NepA,efflux pump
Q8GAI6,Nicotine metabolites export pump subunit NepB,efflux pump
Q8K984,Multidrug resistance-like ATP-binding protein MdlB,efflux pump
Q8K985,Multidrug resistance-like ATP-binding protein MdlA,efflux pump
Q8KA52,Undecaprenyl-diphosphatase,target alteration
Q8KFE9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q8KFJ7,Undecaprenyl-diphosphatase,target alteration
Q8L1B1,Isoleucine--tRNA ligase 2,target alteration
Q8NQC3,Undecaprenyl-diphosphatase,target alteration
Q8NVE1,Multidrug resistance efflux pump SepA,efflux pump
Q8NW09,Arsenical pump membrane protein,efflux pump
Q8NWQ5,Quinolone resistance protein NorB,efflux pump
Q8NWU7,Phosphatidylglycerol lysyltransferase,target alteration
Q8NX16,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q8NXQ4,Undecaprenyl-diphosphatase,target alteration
Q8NXR5,Sensor protein kinase GraS,target alteration
Q8NYB0,Multidrug export protein MepA,efflux pump
Q8P4E6,Probable multidrug resistance protein NorM,efflux pump
Q8PDZ9,Undecaprenyl-diphosphatase,target alteration
Q8PG07,Probable multidrug resistance protein NorM,efflux pump
Q8PQW6,Undecaprenyl-diphosphatase,target alteration
Q8RB29,Undecaprenyl-diphosphatase,target alteration
Q8RIA6,Undecaprenyl-diphosphatase,target alteration
Q8UDF5,Probable multidrug resistance protein NorM,efflux pump
Q8UKE4,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q8X3J5,Multidrug resistance protein MdtF,efflux pump
Q8X4L0,Multidrug resistance protein MdtE,efflux pump
Q8X5R2,Multidrug resistance protein MdtN,efflux pump
Q8X5R8,Multidrug resistance protein MdtO,efflux pump
Q8X5R9,Multidrug resistance outer membrane protein MdtP,efflux pump
Q8X659,Multidrug resistance outer membrane protein MdtQ,efflux pump
Q8X738,Transcriptional regulatory protein PhoP,target alteration, efflux pump
Q8X739,Sensor protein PhoQ,target alteration, efflux pump
Q8X7I3,Putative multidrug resistance protein MdtD,efflux pump
Q8X7J4,Multidrug resistance protein MdtB,efflux pump
Q8X7J5,Multidrug resistance protein MdtA,efflux pump
Q8X9I3,Multidrug resistance protein MdtG,efflux pump
Q8XB24,Multidrug resistance protein MdtL,efflux pump
Q8XB84,Multidrug resistance protein MdtM,efflux pump
Q8XBY1,Cation efflux system protein CusA,efflux pump
Q8XBY3,Cation efflux system protein CusC,efflux pump
Q8XC49,Purine ribonucleoside efflux pump NepI,efflux pump
Q8XDQ5,Guanidinium exporter,efflux pump
Q8XDZ1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q8XDZ3,Bifunctional polymyxin resistance protein ArnA,target alteration
Q8XDZ5,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q8XED0,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q8XEK5,Spermidine export protein MdtJ,efflux pump
Q8XFG0,Multidrug resistance protein MdtM,efflux pump
Q8XG16,Spermidine export protein MdtI,efflux pump
Q8XGS2,Purine ribonucleoside efflux pump NepI,efflux pump
Q8XGT8,Guanidinium exporter,efflux pump
Q8XL56,Undecaprenyl-diphosphatase,target alteration
Q8Y1I9,Undecaprenyl-diphosphatase,target alteration
Q8Y654,Probable multidrug resistance protein NorM,efflux pump
Q8Y6I2,Fosfomycin resistance protein FosX,product inactivation
Q8Y9K8,Lincomycin resistance protein LmrB,efflux pump
Q8YFD7,Probable multidrug resistance protein NorM,efflux pump
Q8YIT2,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q8YXJ9,Undecaprenyl-diphosphatase,target alteration
Q8Z2N9,Multidrug resistance protein MdtL,efflux pump
Q8Z538,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q8Z540,Bifunctional polymyxin resistance protein ArnA,target alteration
Q8Z541,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q8Z5F5,Putative multidrug resistance protein MdtD,efflux pump
Q8Z5F6,Multidrug resistance protein MdtC,efflux pump
Q8Z5F7,Multidrug resistance protein MdtB,efflux pump
Q8Z5F8,Multidrug resistance protein MdtA,efflux pump
Q8Z6N7,Multidrug resistance protein MdtK,efflux pump
Q8Z7H2,Virulence transcriptional regulatory protein PhoP,target alteration, efflux pump
Q8Z7H3,Virulence sensor histidine kinase PhoQ,target alteration, efflux pump
Q8Z7L0,Multidrug resistance protein MdtH,efflux pump
Q8Z7L7,Multidrug resistance protein MdtG,efflux pump
Q8Z824,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q8ZCV9,Multidrug resistance protein MdtC,efflux pump
Q8ZCW0,Multidrug resistance protein MdtB,efflux pump
Q8ZCW1,Multidrug resistance protein MdtA,efflux pump
Q8ZDX7,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q8ZDX8,Bifunctional polymyxin resistance protein ArnA,target alteration
Q8ZDX9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q8ZDZ8,Multidrug resistance protein MdtK,efflux pump
Q8ZEW3,Multidrug resistance protein MdtH,efflux pump
Q8ZI65,Undecaprenyl-diphosphatase,target alteration
Q8ZKY1,Multidrug resistance protein MdtL,efflux pump
Q8ZNQ0,Putative multidrug resistance protein MdtD,efflux pump
Q8ZNQ1,Multidrug resistance protein MdtC,efflux pump
Q8ZNQ2,Multidrug resistance protein MdtB,efflux pump
Q8ZNQ3,Multidrug resistance protein MdtA,efflux pump
Q8ZPB6,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q8ZPD3,L-methionine sulfoximine/L-methionine sulfone acetyltransferase,product inactivation
Q8ZPP2,Multidrug resistance protein MdtK,efflux pump
Q8ZPX9,Aminoglycoside (3'') (9) adenylyltransferase,product inactivation
Q8ZQ19,Multidrug resistance protein MdtH,efflux pump
Q8ZQ25,Multidrug resistance protein MdtG,efflux pump
Q8ZQE4,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q92AG2,Probable multidrug resistance protein NorM,efflux pump
Q92AV8,Fosfomycin resistance protein FosX,product inactivation
Q92EE1,Lincomycin resistance protein LmrB,efflux pump
Q92NU9,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q92PZ0,Probable multidrug resistance protein NorM,efflux pump
Q92SP2,Undecaprenyl-diphosphatase,target alteration
Q932I8,Tetracycline resistance protein TetM,target protection
Q932L5,Methicillin resistance regulatory protein MecI,target replacement
Q93A44,Amino-acid racemase,target alteration
Q93L51,Flavin-dependent monooxygenase,efflux pump
Q93LM8,Beta-lactamase SHV-34,product inactivation
Q93PD8,Bifunctional polymyxin resistance protein ArnA,target alteration
Q93PD9,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q93PU4,Toluene efflux pump membrane transporter TtgH,efflux pump
Q93QY7,Phosphatidylglycerol lysyltransferase,target alteration
Q97KF6,Undecaprenyl-diphosphatase 2,target alteration
Q97LQ3,Undecaprenyl-diphosphatase 1,target alteration
Q97QN5,Probable multidrug resistance protein NorM,efflux pump
Q98D15,Probable multidrug resistance protein NorM,efflux pump
Q98DM7,Undecaprenyl-diphosphatase 1,target alteration
Q98GG1,Fosfomycin resistance protein FosX,product inactivation
Q98NJ1,Undecaprenyl-diphosphatase 2,target alteration
Q99S97,Multidrug efflux pump SdrM,efflux pump
Q99S98,Multidrug resistance efflux pump SepA,efflux pump
Q99U52,Quinolone resistance protein NorB,efflux pump
Q99U73,Response regulator ArlR,efflux pump
Q99UB9,Phosphatidylglycerol lysyltransferase,target alteration
Q99UQ0,Probable dual-specificity RNA methyltransferase RlmN,target alteration
Q99VT5,HTH-type transcriptional regulator MgrA,efflux pump
Q99WP2,Multidrug export protein MepA,efflux pump
Q99XE5,Bleomycin resistance protein,product inactivation
Q9A2G0,Undecaprenyl-diphosphatase,target alteration
Q9AHN9,Beta-lactamase SHV-29,product inactivation
Q9AIV3,Phosphatidylglycerol lysyltransferase,target alteration
Q9CBP1,Multidrug resistance protein mmr,efflux pump
Q9CC42,Undecaprenyl-diphosphatase,target alteration
Q9CD68,Response regulator MprA,efflux pump
Q9CDM7,Undecaprenyl-diphosphatase,target alteration
Q9CHL8,Multidrug resistance ABC transporter ATP-binding and permease protein,efflux pump
Q9CM47,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q9CMZ9,Probable multidrug resistance protein NorM,efflux pump
Q9EYV5,HTH-type transcriptional regulator GadX,efflux pump
Q9EZQ7,Beta-lactamase AST-1,product inactivation
Q9F5K6,23S rRNA (uridine(2479)-2'-O)-methyltransferase,target alteration
Q9F5N7,Multidrug resistance protein NorM,efflux pump
Q9F663,Carbapenem-hydrolyzing beta-lactamase KPC,product inactivation
Q9FB58,Undecaprenyl-diphosphatase,target alteration
Q9FBG4,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
Q9FC36,Undecaprenyl-diphosphatase 1,target alteration
Q9HTR0,Probable multidrug resistance protein NorM,efflux pump
Q9HUH5,Multidrug transporter PA4990,efflux pump
Q9HUU7,L-methionine sulfoximine/L-methionine sulfone acetyltransferase,product inactivation
Q9HV31,Sensor protein kinase PmrB,target alteration
Q9HV32,Response regulator protein PmrA,efflux pump
Q9HY61,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
Q9HY63,Bifunctional polymyxin resistance protein ArnA,target alteration
Q9HY64,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
Q9I190,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q9I2E5,Undecaprenyl-diphosphatase,target alteration
Q9I3Y3,Multidrug resistance protein PmpM,efflux pump
Q9I4F9,Two-component response regulator PhoP,target alteration, efflux pump
Q9I4K6,Glutathione transferase FosA,product inactivation
Q9JSY6,Undecaprenyl-diphosphatase,target alteration
Q9JV27,Probable multidrug resistance protein NorM,efflux pump
Q9JVR5,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q9K015,Probable multidrug resistance protein NorM,efflux pump
Q9K0N7,Macrolide export ATP-binding/permease protein MacB,efflux pump
Q9K0Z3,Undecaprenyl-diphosphatase,target alteration
Q9K2Y1,Outer membrane protein TolC,efflux pump
Q9K303,Metallo-beta-lactamase type 2,product inactivation
Q9K407,Undecaprenyl-diphosphatase 2,target alteration
Q9K619,Bacitracin export ATP-binding protein BceA,efflux pump
Q9KBZ6,Metallothiol transferase FosB,product inactivation
Q9KCP8,Undecaprenyl-diphosphatase 2,target alteration
Q9KEJ2,Probable multidrug resistance protein NorM,efflux pump
Q9KFL5,Undecaprenyl-diphosphatase 1,target alteration
Q9KHL7,Amino-acid racemase,target alteration
Q9KIN5,Undecaprenyl-diphosphatase,target alteration
Q9KJA7,Metallo-beta-lactamase type 2,product inactivation
Q9KJA8,Metallo-beta-lactamase type 2,product inactivation
Q9KJA9,Metallo-beta-lactamase type 2,product inactivation
Q9KJB0,Metallo-beta-lactamase type 2,product inactivation
Q9KJC1,Antibiotic efflux pump outer membrane protein ArpC,efflux pump
Q9KJC2,Antibiotic efflux pump membrane transporter ArpB,efflux pump
Q9KJC3,Antibiotic efflux pump periplasmic linker protein ArpA,efflux pump
Q9KJN4,Response regulator ArlR,efflux pump
Q9KRU4,Multidrug resistance protein NorM,efflux pump
Q9KUJ4,Undecaprenyl-diphosphatase,target alteration
Q9KWV4,Toluene efflux pump membrane transporter TtgE,efflux pump
Q9KZX7,Virginiamycin B lyase,product inactivation
Q9PA34,Probable multidrug resistance protein NorM,efflux pump
Q9PCE0,Undecaprenyl-diphosphatase,target alteration
Q9PIS4,Undecaprenyl-diphosphatase,target alteration
Q9R381,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q9R976,Beta-lactamase OXA-19,product inactivation
Q9RB01,Metallo-beta-lactamase type 2,product inactivation
Q9RB37,Undecaprenyl-diphosphatase,target alteration
Q9RBW7,Aminoglycoside N(6')-acetyltransferase type 1,product inactivation
Q9RDT3,Sensor protein kinase WalK (Fragment),target alteration
Q9RKY0,RNA polymerase-binding protein RbpA,target protection
Q9RLT9,DNA-directed RNA polymerase subunit beta,target replacement
Q9RNL1,Undecaprenyl-diphosphatase,target alteration
Q9RQ29,Fatty acid resistance protein FarB,efflux pump
Q9RQ30,Fatty acid resistance protein FarA,efflux pump
Q9RX61,Undecaprenyl-diphosphatase,target alteration
Q9RY44,Probable multidrug resistance protein NorM,efflux pump
Q9S169,Beta-lactamase SHV-24,product inactivation
Q9S1M6,23S rRNA (guanine(748)-N(1))-methyltransferase,target alteration
Q9S424,Beta-lactamase SHV-13,product inactivation
Q9WWZ8,Toluene efflux pump outer membrane protein TtgC,efflux pump
Q9WWZ9,Toluene efflux pump periplasmic linker protein TtgA,efflux pump
Q9WZS2,Probable multidrug resistance protein NorM,efflux pump
Q9WZZ5,Undecaprenyl-diphosphatase,target alteration
Q9X2N9,Quaternary ammonium compound-resistance protein QacF,efflux pump
Q9X3P3,Serine/alanine racemase,target alteration
Q9XAK6,D-alanyl-D-alanine dipeptidase,target alteration
Q9XAK7,Putative D-alanine--D-lactate ligase,target protection
Q9XBN7,Metallo-beta-lactamase type 2,product inactivation
Q9ZHC9,Putative cation efflux system protein SilA,efflux pump
Q9ZHD2,Probable outer membrane lipoprotein SilC,efflux pump
Q9ZHD3,Probable transcriptional regulatory protein SilR,efflux pump
Q9ZHD4,Probable sensor kinase SilS,efflux pump
