CARD Accession (4571),Protein Accession,Description,Resistance Mechanism,Drug Class
ARO:3001918,ABN48311.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001919,ABM97538.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001920,ABD73290.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001921,CAL80726.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001922,ABN09669.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001923,ABP04245.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001924,BAD90119.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001925,BAF63422.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001926,ABN69105.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001927,ABQ45409.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001928,ABS90365.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001929,ABV81082.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001930,ABY91281.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001932,ACV92002.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001933,AAV97957.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001934,WP_063860072.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001935,ACS32293.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001936,ACS32294.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001937,CAQ42486.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001938,CAQ42480.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001939,CAQ42481.2,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001940,ABO09821.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001941,ABW86620.2,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001942,ABV57756.3,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001943,ABB59946.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001944,ACI29345.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001945,ACI29346.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001946,ACI29348.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001947,ACB41777.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001948,WP_063860086.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001949,ACR56321.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001950,ACQ99521.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001951,ACX34099.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001952,ACY74743.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001953,ADN26580.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001954,ADK11041.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001955,CBL80615.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001956,CAG28417.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001957,ADO17948.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001958,ADL27532.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001959,CBW46935.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001960,ADY02545.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001961,ADY02546.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001962,CDG50843.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001963,ADY02555.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001965,ADY02554.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001966,ADZ31262.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001967,AEM44650.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001968,AEM44651.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001969,AEM44654.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001970,AEM44648.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001971,AEM44649.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001972,AEM44652.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001973,AEM44653.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001974,ACU00153.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001975,AIL54055.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001976,AEI70324.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001977,AET99223.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001980,AFA51699.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001981,AFA51700.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001982,AFA51701.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001983,AFH88134.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001984,AFO69261.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001985,BAL72196.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001986,WP_088245211.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001988,AFJ59956.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001989,AFJ59957.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001990,AEW46676.3,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001991,AFQ94051.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001992,AFX60298.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001994,BAO37256.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001995,AGG08693.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001996,WP_070064534.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001997,AFY98865.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001998,WP_063108644.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3001999,AGN11769.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002000,AGW25368.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002001,WP_156404649.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002002,AHX39588.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002004,WP_102607454.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002005,AHA80961.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002006,AHX39589.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002007,WP_063859959.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002008,BAP34782.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002009,AHY20039.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002010,WP_168247876.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002011,WP_110093562.1,CTX-M beta-lactamase,product inactivation,cephalosporin
ARO:3002012,CAA63264.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002013,CAA62957.1,CMY beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3002015,CAA75402.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002016,CAB50867.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002017,CAB36902.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002018,CAB36900.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002019,AAD50818.2,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002020,BAB72158.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002021,AAK31368.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002022,AAK31370.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002023,CAA76382.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002024,AAQ16660.2,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002025,CAD88479.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002026,CAD88477.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002027,CAH03679.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002028,AAS13399.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002029,AAU95778.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002030,BAE48233.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002031,AAX58682.2,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002032,AAZ66866.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002033,ABB72431.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002034,ABF06441.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002035,ABN69070.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002036,ACA30420.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002037,BAF56185.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002038,ACA30421.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002039,ABQ51091.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002040,ABS12248.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002041,ABS12249.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002042,ABR18736.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002043,ACA97846.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002044,ACA97847.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002045,ABN51006.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002046,ABN51007.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002047,ABY58049.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002048,BAF36388.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002049,CAP60699.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002050,BAF95726.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002051,ACA30422.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002052,BAG14343.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002053,ADM21467.1,CMY beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002054,ACJ05361.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002055,ACJ65711.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002056,CBB16411.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002057,CBH19182.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002058,ADH82410.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002059,ADP02979.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002060,ACV32310.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002061,CBI75447.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002062,AFK73431.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002064,ADQ38362.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002065,ADK55604.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002066,ADK55605.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002067,ADT91162.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002068,ADP37961.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002069,BAJ17544.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002070,AGU59995.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002071,BAO05497.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002072,ADY19254.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002073,AEM97672.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002074,AEM97673.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002075,AEM97674.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002076,AET07387.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002077,ADW84690.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002078,AEI52842.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002079,AEZ49849.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002080,AFK08541.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002081,AEZ49855.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002082,AGE45504.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002083,AFU25635.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002084,AFK08538.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002085,AFU25641.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002086,ACU00152.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002087,AFU25632.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002088,AFK73434.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002089,AFK73437.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002090,AFU25644.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002091,AFK73443.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002092,AFK73446.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002093,AFK73449.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002094,AFK73452.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002095,AHL39324.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002096,AFU25638.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002097,AFK73455.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002098,AHL39322.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002099,AHL39327.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002100,BAL63057.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002102,CCK86742.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002103,CCK86743.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002106,AHM76768.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002107,AGC54798.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002108,AGC54799.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002109,WP_063859917.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002110,AFZ85213.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002111,AGH70380.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002112,AHA80101.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002113,AHA80102.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002114,AHA80103.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002115,AHA80104.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002116,AGR82311.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002117,AHL39330.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002118,WP_063859654.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002119,WP_032494240.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002120,AGZ20169.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002121,WP_032948363.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002122,AHW47897.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002123,AIT76090.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002124,AIT76089.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002125,AIT76099.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002126,AIT76092.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002127,AIT76093.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002128,AIT76097.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002129,AIT76091.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002130,AIT76098.1,CMY beta-lactamase,product inactivation,cephamycin
ARO:3002132,CAA76196.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002133,AAG36927.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002134,AAR87489.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002135,ADT91161.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002136,ADQ00385.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002137,WP_032097955.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002138,AEL22919.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002140,AHL39320.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002141,AJO16043.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002143,CDL68900.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002144,AIT76108.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002145,AIT76107.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002146,AIT76106.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002147,AIT76105.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002148,AIT76103.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002149,AIT76094.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002150,AIT76102.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002151,AIT76101.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002152,AIT76100.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002153,AIT76109.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002154,WP_063860108.1,DHA beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002155,CAA54602.1,FOX beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002156,CAA71325.1,FOX beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002157,CAA71947.1,FOX beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002158,CAB89086.1,FOX beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002159,AAG12974.1,FOX beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002160,CAG28256.1,FOX beta-lactamase,product inactivation,cephalosporin;cephamycin
ARO:3002161,ADK73994.1,FOX beta-lactamase,product inactivation,cephalosporin;cephamycin
